custid,yearmonthid,kwh
280,200808,932
280,200809,1093
280,200810,1112
280,200811,1829
280,200812,2469
280,200901,4529
280,200902,4245
280,200903,6934
280,200904,2156
280,200905,1694
280,200906,1694
280,200907,1062
280,200908,961
280,200909,936
280,200910,1109
280,200911,2370
280,200912,2417
280,201001,3940
280,201002,4101
280,201003,3665
280,201004,2983
280,201005,2196
280,201006,1693
280,201007,1110
281,200808,0
281,200809,3
281,200810,139
281,200811,0
281,200812,1030
281,200901,1348
281,200902,337
281,200903,2472
281,200904,1976
281,200905,2174
281,200906,2174
281,200907,2344
281,200908,2559
281,200909,2046
281,200910,3188
281,200911,0
281,200912,1606
281,201001,1897
281,201002,2373
281,201003,2162
281,201004,3833
281,201005,0
281,201006,1680
281,201007,2165
282,200808,755
282,200809,863
282,200810,743
282,200811,1160
282,200812,2300
282,200901,3362
282,200902,2827
282,200903,2246
282,200904,1795
282,200905,1500
282,200906,1072
282,200907,853
282,200908,1007
282,200909,833
282,200910,865
282,200911,1232
282,200912,1929
282,201001,3108
282,201002,2425
282,201003,1990
282,201004,1389
282,201005,1363
282,201006,891
282,201007,1041
283,200808,1252
283,200809,1310
283,200810,1027
283,200811,1397
283,200812,1160
283,200901,1509
283,200902,1250
283,200903,1098
283,200904,945
283,200905,969
283,200906,891
283,200907,1263
283,200908,1032
283,200909,1274
283,200910,1054
283,200911,1063
283,200912,1121
283,201001,1550
283,201002,1403
283,201003,1094
283,201004,989
283,201005,1034
283,201006,958
283,201007,963
284,200808,612
284,200809,635
284,200810,551
284,200811,1271
284,200812,2330
284,200901,5443
284,200902,4463
284,200903,6829
284,200904,1770
284,200905,1106
284,200906,1106
284,200907,812
284,200908,538
284,200909,531
284,200910,534
284,200911,597
284,200912,572
284,201001,774
284,201002,700
284,201003,601
284,201004,657
284,201005,500
284,201006,537
284,201007,650
285,200808,229
285,200809,272
285,200810,239
285,200811,290
285,200812,328
285,200901,481
285,200902,452
285,200903,363
285,200904,290
285,200905,279
285,200906,239
285,200907,252
285,200908,281
285,200909,281
285,200910,303
285,200911,351
285,200912,347
285,201001,464
285,201002,399
285,201003,364
285,201004,323
285,201005,385
285,201006,268
285,201007,307
286,200808,389
286,200809,469
286,200810,397
286,200811,599
286,200812,809
286,200901,874
286,200902,830
286,200903,730
286,200904,555
286,200905,405
286,200906,306
286,200907,306
286,200908,329
286,200909,304
286,200910,448
286,200911,611
286,200912,627
286,201001,709
286,201002,583
286,201003,576
286,201004,334
286,201005,296
286,201006,241
286,201007,296
287,200808,452
287,200809,541
287,200810,476
287,200811,237
287,200812,416
287,200901,922
287,200902,731
287,200903,333
287,200904,319
287,200905,355
287,200906,281
287,200907,343
287,200908,467
287,200909,383
287,200910,406
287,200911,342
287,200912,372
287,201001,275
287,201002,406
287,201003,300
287,201004,330
287,201005,331
287,201006,249
287,201007,442
288,200808,1381
288,200809,1234
288,200810,1068
288,200811,2112
288,200812,1275
288,200901,1308
288,200902,1177
288,200903,1199
288,200904,1089
288,200905,1201
288,200906,1175
288,200907,1349
288,200908,1009
288,200909,993
288,200910,795
288,200911,806
288,200912,935
288,201001,952
288,201002,850
288,201003,746
288,201004,711
288,201005,806
288,201006,641
288,201007,877
289,200808,691
289,200809,728
289,200810,869
289,200811,880
289,200812,774
289,200901,1257
289,200902,1056
289,200903,828
289,200904,747
289,200905,685
289,200906,633
289,200907,793
289,200908,780
289,200909,717
289,200910,696
289,200911,675
289,200912,749
289,201001,781
289,201002,740
289,201003,687
289,201004,636
289,201005,675
289,201006,607
289,201007,867
290,200808,856
290,200809,829
290,200810,755
290,200811,778
290,200812,844
290,200901,884
290,200902,843
290,200903,625
290,200904,621
290,200905,758
290,200906,879
290,200907,818
290,200908,1150
290,200909,870
290,200910,887
290,200911,769
290,200912,844
290,201001,888
290,201002,969
290,201003,680
290,201004,661
290,201005,683
290,201006,754
290,201007,910
291,200808,485
291,200809,631
291,200810,557
291,200811,602
291,200812,373
291,200901,348
291,200902,313
291,200903,733
291,200904,467
291,200905,453
291,200906,453
291,200907,450
291,200908,484
291,200909,479
291,200910,528
291,200911,567
291,200912,368
291,201001,278
291,201002,340
291,201003,345
291,201004,467
291,201005,534
291,201006,423
291,201007,376
292,200808,858
292,200809,766
292,200810,662
292,200811,838
292,200812,883
292,200901,1059
292,200902,762
292,200903,1466
292,200904,449
292,200905,784
292,200906,784
292,200907,656
292,200908,669
292,200909,700
292,200910,713
292,200911,808
292,200912,562
292,201001,664
292,201002,531
292,201003,479
292,201004,432
292,201005,389
292,201006,410
292,201007,369
293,200808,540
293,200809,553
293,200810,354
293,200811,357
293,200812,665
293,200901,739
293,200902,662
293,200903,536
293,200904,413
293,200905,310
293,200906,287
293,200907,508
293,200908,509
293,200909,531
293,200910,383
293,200911,483
293,200912,460
293,201001,738
293,201002,355
293,201003,348
293,201004,313
293,201005,299
293,201006,328
293,201007,583
294,200808,502
294,200809,567
294,200810,485
294,200811,535
294,200812,625
294,200901,1021
294,200902,876
294,200903,1431
294,200904,549
294,200905,487
294,200906,487
294,200907,417
294,200908,593
294,200909,547
294,200910,561
294,200911,734
294,200912,624
294,201001,1216
294,201002,977
294,201003,792
294,201004,665
294,201005,493
294,201006,403
294,201007,342
295,200808,564
295,200809,399
295,200810,196
295,200811,237
295,200812,325
295,200901,359
295,200902,296
295,200903,259
295,200904,194
295,200905,206
295,200906,256
295,200907,313
295,200908,426
295,200909,494
295,200910,288
295,200911,232
295,200912,284
295,201001,360
295,201002,260
295,201003,264
295,201004,203
295,201005,213
295,201006,206
295,201007,511
296,200808,0
296,200809,1027
296,200810,784
296,200811,0
296,200812,1202
296,200901,2025
296,200902,1860
296,200903,1375
296,200904,719
296,200905,670
296,200906,670
296,200907,770
296,200908,803
296,200909,911
296,200910,1695
296,200911,0
296,200912,1504
296,201001,0
296,201002,910
296,201003,784
296,201004,1384
296,201005,0
296,201006,620
296,201007,763
297,200808,1253
297,200809,1141
297,200810,1054
297,200811,1146
297,200812,1360
297,200901,1753
297,200902,1712
297,200903,1505
297,200904,1289
297,200905,926
297,200906,919
297,200907,957
297,200908,955
297,200909,1135
297,200910,797
297,200911,1088
297,200912,998
297,201001,1938
297,201002,1919
297,201003,1448
297,201004,1224
297,201005,884
297,201006,912
297,201007,1080
298,200808,740
298,200809,723
298,200810,659
298,200811,705
298,200812,775
298,200901,798
298,200902,838
298,200903,836
298,200904,867
298,200905,793
298,200906,806
298,200907,986
298,200908,1115
298,200909,897
298,200910,980
298,200911,1114
298,200912,1022
298,201001,1270
298,201002,1384
298,201003,1317
298,201004,1001
298,201005,911
298,201006,473
298,201007,396
299,200808,1538
299,200809,1672
299,200810,1252
299,200811,2274
299,200812,3047
299,200901,5572
299,200902,4826
299,200903,7032
299,200904,1773
299,200905,999
299,200906,150
299,200907,1051
299,200908,1255
299,200909,1118
299,200910,1050
299,200911,2657
299,200912,2731
299,201001,5257
299,201002,5218
299,201003,4049
299,201004,2492
299,201005,2133
299,201006,2124
299,201007,1675
300,200808,498
300,200809,559
300,200810,1575
300,200811,772
300,200812,873
300,200901,743
300,200902,819
300,200903,794
300,200904,702
300,200905,680
300,200906,555
300,200907,258
300,200908,519
300,200909,722
300,200910,717
300,200911,751
300,200912,719
300,201001,976
300,201002,769
300,201003,833
300,201004,690
300,201005,894
300,201006,867
300,201007,734
301,200808,848
301,200809,774
301,200810,731
301,200811,886
301,200812,896
301,200901,926
301,200902,940
301,200903,842
301,200904,861
301,200905,806
301,200906,694
301,200907,676
301,200908,764
301,200909,771
301,200910,890
301,200911,779
301,200912,759
301,201001,993
301,201002,1018
301,201003,839
301,201004,745
301,201005,989
301,201006,801
301,201007,860
302,200808,842
302,200809,785
302,200810,988
302,200811,1744
302,200812,3184
302,200901,3956
302,200902,4109
302,200903,3191
302,200904,2614
302,200905,2098
302,200906,1535
302,200907,1431
302,200908,1064
302,200909,1138
302,200910,1247
302,200911,2429
302,200912,2479
302,201001,4090
302,201002,3661
302,201003,3125
302,201004,2174
302,201005,2135
302,201006,1678
302,201007,1587
303,200808,988
303,200809,1071
303,200810,1111
303,200811,688
303,200812,737
303,200901,1283
303,200902,977
303,200903,891
303,200904,837
303,200905,821
303,200906,632
303,200907,737
303,200908,433
303,200909,916
303,200910,754
303,200911,591
303,200912,823
303,201001,1276
303,201002,1071
303,201003,990
303,201004,313
303,201005,737
303,201006,600
303,201007,667
304,200808,222
304,200809,183
304,200810,122
304,200811,120
304,200812,109
304,200901,111
304,200902,99
304,200903,102
304,200904,98
304,200905,96
304,200906,98
304,200907,122
304,200908,90
304,200909,116
304,200910,82
304,200911,112
304,200912,107
304,201001,114
304,201002,107
304,201003,116
304,201004,97
304,201005,103
304,201006,100
304,201007,165
305,200808,586
305,200809,641
305,200810,583
305,200811,526
305,200812,499
305,200901,508
305,200902,486
305,200903,515
305,200904,448
305,200905,473
305,200906,566
305,200907,595
305,200908,575
305,200909,588
305,200910,549
305,200911,535
305,200912,548
305,201001,476
305,201002,376
305,201003,456
305,201004,456
305,201005,463
305,201006,402
305,201007,483
306,200808,810
306,200809,861
306,200810,671
306,200811,499
306,200812,714
306,200901,777
306,200902,613
306,200903,522
306,200904,425
306,200905,506
306,200906,488
306,200907,661
306,200908,868
306,200909,722
306,200910,554
306,200911,461
306,200912,583
306,201001,819
306,201002,534
306,201003,550
306,201004,514
306,201005,436
306,201006,377
306,201007,902
307,200808,1153
307,200809,1607
307,200810,1656
307,200811,2236
307,200812,4865
307,200901,5216
307,200902,5282
307,200903,4465
307,200904,3195
307,200905,2407
307,200906,2463
307,200907,856
307,200908,1121
307,200909,1105
307,200910,1692
307,200911,2187
307,200912,3476
307,201001,5284
307,201002,3758
307,201003,3620
307,201004,2179
307,201005,2180
307,201006,981
307,201007,1021
308,200808,1103
308,200809,1033
308,200810,998
308,200811,1259
308,200812,1032
308,200901,1274
308,200902,1138
308,200903,1204
308,200904,1143
308,200905,1370
308,200906,1235
308,200907,1115
308,200908,1073
308,200909,1091
308,200910,917
308,200911,1282
308,200912,1185
308,201001,1337
308,201002,1291
308,201003,1393
308,201004,1358
308,201005,1225
308,201006,1159
308,201007,1443
309,200808,488
309,200809,548
309,200810,374
309,200811,611
309,200812,596
309,200901,994
309,200902,827
309,200903,799
309,200904,767
309,200905,554
309,200906,514
309,200907,475
309,200908,395
309,200909,449
309,200910,431
309,200911,744
309,200912,511
309,201001,833
309,201002,905
309,201003,650
309,201004,572
309,201005,421
309,201006,482
309,201007,434
310,200808,579
310,200809,427
310,200810,378
310,200811,104
310,200812,41
310,200901,46
310,200902,40
310,200903,42
310,200904,42
310,200905,53
310,200906,275
310,200907,522
310,200908,431
310,200909,492
310,200910,468
310,200911,48
310,200912,45
310,201001,46
310,201002,52
310,201003,58
310,201004,53
310,201005,49
310,201006,76
310,201007,564
311,200808,852
311,200809,746
311,200810,865
311,200811,816
311,200812,675
311,200901,792
311,200902,1411
311,200903,830
311,200904,469
311,200905,665
311,200906,592
311,200907,751
311,200908,726
311,200909,820
311,200910,695
311,200911,754
311,200912,830
311,201001,952
311,201002,901
311,201003,813
311,201004,812
311,201005,920
311,201006,821
311,201007,905
312,200808,878
312,200809,886
312,200810,925
312,200811,957
312,200812,1135
312,200901,1396
312,200902,1166
312,200903,1938
312,200904,918
312,200905,1023
312,200906,1023
312,200907,1135
312,200908,1260
312,200909,1213
312,200910,940
312,200911,1131
312,200912,1128
312,201001,1494
312,201002,1304
312,201003,1168
312,201004,1074
312,201005,958
312,201006,986
312,201007,989
313,200808,866
313,200809,882
313,200810,1033
313,200811,806
313,200812,874
313,200901,1238
313,200902,967
313,200903,2286
313,200904,882
313,200905,867
313,200906,867
313,200907,824
313,200908,883
313,200909,916
313,200910,895
313,200911,1004
313,200912,953
313,201001,1403
313,201002,1349
313,201003,1268
313,201004,998
313,201005,872
313,201006,813
313,201007,737
314,200808,296
314,200809,267
314,200810,291
314,200811,383
314,200812,651
314,200901,762
314,200902,629
314,200903,563
314,200904,237
314,200905,485
314,200906,525
314,200907,484
314,200908,590
314,200909,708
314,200910,644
314,200911,586
314,200912,699
314,201001,667
314,201002,683
314,201003,577
314,201004,539
314,201005,622
314,201006,559
314,201007,659
315,200808,613
315,200809,460
315,200810,279
315,200811,270
315,200812,490
315,200901,680
315,200902,596
315,200903,1010
315,200904,442
315,200905,629
315,200906,629
315,200907,380
315,200908,415
315,200909,780
315,200910,376
315,200911,402
315,200912,438
315,201001,430
315,201002,327
315,201003,587
315,201004,412
315,201005,330
315,201006,358
315,201007,641
316,200808,1776
316,200809,1796
316,200810,1163
316,200811,1237
316,200812,1671
316,200901,2484
316,200902,876
316,200903,1082
316,200904,536
316,200905,567
316,200906,567
316,200907,534
316,200908,557
316,200909,566
316,200910,658
316,200911,909
316,200912,623
316,201001,783
316,201002,635
316,201003,500
316,201004,508
316,201005,546
316,201006,664
316,201007,708
317,200808,436
317,200809,473
317,200810,504
317,200811,380
317,200812,305
317,200901,523
317,200902,322
317,200903,749
317,200904,235
317,200905,258
317,200906,258
317,200907,299
317,200908,380
317,200909,450
317,200910,420
317,200911,415
317,200912,298
317,201001,439
317,201002,563
317,201003,382
317,201004,370
317,201005,293
317,201006,263
317,201007,289
318,200808,828
318,200809,730
318,200810,563
318,200811,557
318,200812,703
318,200901,743
318,200902,693
318,200903,548
318,200904,557
318,200905,541
318,200906,513
318,200907,595
318,200908,511
318,200909,820
318,200910,694
318,200911,630
318,200912,708
318,201001,745
318,201002,694
318,201003,659
318,201004,612
318,201005,693
318,201006,516
318,201007,722
319,200808,616
319,200809,687
319,200810,1430
319,200811,708
319,200812,937
319,200901,1521
319,200902,1653
319,200903,1420
319,200904,612
319,200905,645
319,200906,710
319,200907,739
319,200908,660
319,200909,731
319,200910,687
319,200911,703
319,200912,908
319,201001,1503
319,201002,1371
319,201003,756
319,201004,533
319,201005,671
319,201006,502
319,201007,725
320,200808,983
320,200809,1114
320,200810,1294
320,200811,1672
320,200812,2403
320,200901,4596
320,200902,4468
320,200903,3514
320,200904,3129
320,200905,2475
320,200906,1038
320,200907,1334
320,200908,913
320,200909,1019
320,200910,1139
320,200911,1858
320,200912,2155
320,201001,4290
320,201002,4045
320,201003,3996
320,201004,2524
320,201005,1576
320,201006,1286
320,201007,1241
321,200808,731
321,200809,992
321,200810,792
321,200811,781
321,200812,1027
321,200901,1123
321,200902,821
321,200903,802
321,200904,676
321,200905,635
321,200906,745
321,200907,772
321,200908,725
321,200909,929
321,200910,603
321,200911,760
321,200912,764
321,201001,909
321,201002,802
321,201003,775
321,201004,670
321,201005,766
321,201006,828
321,201007,829
322,200808,774
322,200809,1071
322,200810,1064
322,200811,1959
322,200812,4071
322,200901,5228
322,200902,4728
322,200903,4079
322,200904,2620
322,200905,1853
322,200906,1240
322,200907,919
322,200908,972
322,200909,1210
322,200910,1968
322,200911,2240
322,200912,3432
322,201001,4787
322,201002,4109
322,201003,3032
322,201004,2144
322,201005,1892
322,201006,998
322,201007,1199
323,200808,388
323,200809,482
323,200810,365
323,200811,398
323,200812,673
323,200901,2187
323,200902,1898
323,200903,1488
323,200904,671
323,200905,441
323,200906,293
323,200907,354
323,200908,305
323,200909,281
323,200910,273
323,200911,269
323,200912,287
323,201001,390
323,201002,344
323,201003,315
323,201004,238
323,201005,243
323,201006,179
323,201007,222
324,200808,528
324,200809,575
324,200810,424
324,200811,374
324,200812,404
324,200901,449
324,200902,421
324,200903,372
324,200904,382
324,200905,369
324,200906,374
324,200907,445
324,200908,463
324,200909,413
324,200910,377
324,200911,490
324,200912,426
324,201001,456
324,201002,388
324,201003,416
324,201004,353
324,201005,398
324,201006,438
324,201007,661
325,200808,1320
325,200809,899
325,200810,1206
325,200811,1068
325,200812,987
325,200901,1607
325,200902,1242
325,200903,2467
325,200904,931
325,200905,1112
325,200906,1112
325,200907,1113
325,200908,612
325,200909,947
325,200910,1035
325,200911,1300
325,200912,1291
325,201001,1642
325,201002,1414
325,201003,1174
325,201004,901
325,201005,1120
325,201006,1001
325,201007,1070
326,200808,236
326,200809,237
326,200810,216
326,200811,232
326,200812,604
326,200901,1108
326,200902,1334
326,200903,1125
326,200904,924
326,200905,699
326,200906,485
326,200907,350
326,200908,235
326,200909,280
326,200910,298
326,200911,758
326,200912,834
326,201001,1307
326,201002,1204
326,201003,1103
326,201004,747
326,201005,680
326,201006,429
326,201007,345
327,200808,2649
327,200809,1788
327,200810,1309
327,200811,1648
327,200812,2281
327,200901,5210
327,200902,4407
327,200903,6698
327,200904,2645
327,200905,2465
327,200906,2465
327,200907,1647
327,200908,1216
327,200909,1170
327,200910,991
327,200911,917
327,200912,906
327,201001,3842
327,201002,2649
327,201003,1581
327,201004,1888
327,201005,1420
327,201006,1293
327,201007,1620
328,200808,1506
328,200809,1968
328,200810,1549
328,200811,2149
328,200812,6230
328,200901,7732
328,200902,6901
328,200903,5831
328,200904,4161
328,200905,3103
328,200906,2482
328,200907,1723
328,200908,1669
328,200909,1570
328,200910,2055
328,200911,3194
328,200912,4755
328,201001,7446
328,201002,5428
328,201003,4768
328,201004,2567
328,201005,2743
328,201006,1635
328,201007,1599
329,200808,711
329,200809,797
329,200810,860
329,200811,842
329,200812,1178
329,200901,1284
329,200902,1106
329,200903,932
329,200904,722
329,200905,798
329,200906,873
329,200907,685
329,200908,810
329,200909,717
329,200910,789
329,200911,847
329,200912,1009
329,201001,760
329,201002,706
329,201003,749
329,201004,632
329,201005,606
329,201006,706
329,201007,643
330,200808,1384
330,200809,1502
330,200810,1527
330,200811,1242
330,200812,1120
330,200901,1445
330,200902,1418
330,200903,1340
330,200904,1169
330,200905,1091
330,200906,1091
330,200907,1199
330,200908,1321
330,200909,1404
330,200910,1294
330,200911,1163
330,200912,1256
330,201001,1335
330,201002,1536
330,201003,1227
330,201004,1235
330,201005,1114
330,201006,1086
330,201007,1082
331,200808,2533
331,200809,2669
331,200810,1862
331,200811,2084
331,200812,2189
331,200901,3652
331,200902,3133
331,200903,6407
331,200904,2541
331,200905,2514
331,200906,2514
331,200907,2298
331,200908,1922
331,200909,2601
331,200910,2363
331,200911,2188
331,200912,2286
331,201001,3829
331,201002,4188
331,201003,3664
331,201004,3284
331,201005,1907
331,201006,2295
331,201007,2285
332,200808,247
332,200809,284
332,200810,308
332,200811,301
332,200812,390
332,200901,466
332,200902,407
332,200903,423
332,200904,348
332,200905,318
332,200906,258
332,200907,295
332,200908,270
332,200909,298
332,200910,245
332,200911,328
332,200912,388
332,201001,480
332,201002,367
332,201003,372
332,201004,327
332,201005,288
332,201006,241
332,201007,261
333,200808,767
333,200809,904
333,200810,732
333,200811,748
333,200812,924
333,200901,1023
333,200902,865
333,200903,824
333,200904,674
333,200905,658
333,200906,584
333,200907,725
333,200908,910
333,200909,872
333,200910,676
333,200911,699
333,200912,775
333,201001,902
333,201002,756
333,201003,782
333,201004,733
333,201005,689
333,201006,696
333,201007,777
334,200808,342
334,200809,357
334,200810,389
334,200811,363
334,200812,339
334,200901,372
334,200902,373
334,200903,369
334,200904,325
334,200905,333
334,200906,358
334,200907,426
334,200908,368
334,200909,395
334,200910,352
334,200911,353
334,200912,308
334,201001,408
334,201002,386
334,201003,360
334,201004,335
334,201005,289
334,201006,371
334,201007,404
335,200808,798
335,200809,834
335,200810,769
335,200811,626
335,200812,760
335,200901,951
335,200902,694
335,200903,720
335,200904,610
335,200905,692
335,200906,610
335,200907,592
335,200908,746
335,200909,765
335,200910,659
335,200911,697
335,200912,780
335,201001,1065
335,201002,699
335,201003,722
335,201004,639
335,201005,607
335,201006,589
335,201007,698
336,200808,636
336,200809,484
336,200810,408
336,200811,463
336,200812,570
336,200901,758
336,200902,633
336,200903,1166
336,200904,528
336,200905,621
336,200906,621
336,200907,569
336,200908,597
336,200909,509
336,200910,539
336,200911,711
336,200912,710
336,201001,1184
336,201002,954
336,201003,1002
336,201004,772
336,201005,809
336,201006,500
336,201007,721
337,200808,760
337,200809,801
337,200810,870
337,200811,656
337,200812,827
337,200901,1410
337,200902,1305
337,200903,947
337,200904,423
337,200905,480
337,200906,834
337,200907,589
337,200908,952
337,200909,529
337,200910,1171
337,200911,1155
337,200912,471
337,201001,1131
337,201002,833
337,201003,510
337,201004,198
337,201005,595
337,201006,691
337,201007,887
338,200808,1413
338,200809,1390
338,200810,1460
338,200811,1659
338,200812,1489
338,200901,2074
338,200902,1449
338,200903,1084
338,200904,1048
338,200905,1067
338,200906,1191
338,200907,1503
338,200908,1213
338,200909,1377
338,200910,1326
338,200911,1761
338,200912,1733
338,201001,2588
338,201002,1770
338,201003,1772
338,201004,1580
338,201005,1955
338,201006,1645
338,201007,1657
339,200808,1211
339,200809,1104
339,200810,733
339,200811,972
339,200812,1284
339,200901,1447
339,200902,1282
339,200903,1001
339,200904,889
339,200905,800
339,200906,665
339,200907,759
339,200908,985
339,200909,882
339,200910,833
339,200911,780
339,200912,521
339,201001,877
339,201002,531
339,201003,485
339,201004,374
339,201005,583
339,201006,645
339,201007,914
340,200808,2404
340,200809,3270
340,200810,1216
340,200811,1057
340,200812,1090
340,200901,1358
340,200902,982
340,200903,2140
340,200904,1031
340,200905,950
340,200906,950
340,200907,1031
340,200908,984
340,200909,1141
340,200910,1206
340,200911,972
340,200912,1033
340,201001,1263
340,201002,1122
340,201003,1167
340,201004,1079
340,201005,981
340,201006,1126
340,201007,1079
341,200808,783
341,200809,792
341,200810,642
341,200811,701
341,200812,650
341,200901,568
341,200902,402
341,200903,1001
341,200904,394
341,200905,331
341,200906,331
341,200907,318
341,200908,297
341,200909,382
341,200910,274
341,200911,353
341,200912,366
341,201001,507
341,201002,460
341,201003,376
341,201004,406
341,201005,300
341,201006,319
341,201007,282
342,200808,553
342,200809,485
342,200810,372
342,200811,499
342,200812,534
342,200901,823
342,200902,552
342,200903,465
342,200904,382
342,200905,467
342,200906,395
342,200907,488
342,200908,594
342,200909,540
342,200910,488
342,200911,576
342,200912,628
342,201001,658
342,201002,623
342,201003,610
342,201004,554
342,201005,528
342,201006,558
342,201007,736
343,200808,657
343,200809,762
343,200810,681
343,200811,978
343,200812,1526
343,200901,1671
343,200902,1160
343,200903,1333
343,200904,823
343,200905,792
343,200906,848
343,200907,710
343,200908,709
343,200909,672
343,200910,657
343,200911,823
343,200912,1147
343,201001,1502
343,201002,1292
343,201003,1204
343,201004,708
343,201005,543
343,201006,632
343,201007,555
344,200808,0
344,200809,1190
344,200810,1621
344,200811,0
344,200812,1410
344,200901,1394
344,200902,1561
344,200903,1359
344,200904,1096
344,200905,1416
344,200906,1416
344,200907,1262
344,200908,964
344,200909,960
344,200910,2124
344,200911,0
344,200912,2161
344,201001,1145
344,201002,0
344,201003,1096
344,201004,3398
344,201005,0
344,201006,1540
344,201007,1643
345,200808,1228
345,200809,1334
345,200810,1242
345,200811,1373
345,200812,1286
345,200901,1766
345,200902,1561
345,200903,3361
345,200904,1297
345,200905,1305
345,200906,1305
345,200907,1003
345,200908,1126
345,200909,1022
345,200910,966
345,200911,1463
345,200912,1360
345,201001,1715
345,201002,1836
345,201003,1414
345,201004,1242
345,201005,1201
345,201006,1152
345,201007,1109
346,200808,1520
346,200809,1181
346,200810,1678
346,200811,1460
346,200812,1435
346,200901,1819
346,200902,1633
346,200903,4808
346,200904,3832
346,200905,2413
346,200906,409
346,200907,1657
346,200908,1548
346,200909,1613
346,200910,1761
346,200911,3595
346,200912,3295
346,201001,4878
346,201002,4723
346,201003,4147
346,201004,2523
346,201005,1728
346,201006,2047
346,201007,1511
347,200808,801
347,200809,783
347,200810,693
347,200811,728
347,200812,1133
347,200901,1068
347,200902,1044
347,200903,961
347,200904,722
347,200905,658
347,200906,755
347,200907,614
347,200908,801
347,200909,818
347,200910,735
347,200911,734
347,200912,809
347,201001,1222
347,201002,1016
347,201003,835
347,201004,803
347,201005,734
347,201006,729
347,201007,1144
348,200808,407
348,200809,509
348,200810,527
348,200811,641
348,200812,1224
348,200901,2915
348,200902,2498
348,200903,1184
348,200904,817
348,200905,542
348,200906,397
348,200907,478
348,200908,477
348,200909,464
348,200910,497
348,200911,519
348,200912,939
348,201001,1986
348,201002,1368
348,201003,1126
348,201004,532
348,201005,580
348,201006,452
348,201007,538
349,200808,470
349,200809,619
349,200810,420
349,200811,459
349,200812,620
349,200901,932
349,200902,655
349,200903,665
349,200904,505
349,200905,430
349,200906,455
349,200907,487
349,200908,561
349,200909,620
349,200910,426
349,200911,561
349,200912,531
349,201001,795
349,201002,671
349,201003,571
349,201004,513
349,201005,464
349,201006,458
349,201007,488
350,200808,491
350,200809,596
350,200810,608
350,200811,493
350,200812,634
350,200901,771
350,200902,786
350,200903,688
350,200904,594
350,200905,570
350,200906,537
350,200907,480
350,200908,541
350,200909,537
350,200910,447
350,200911,452
350,200912,499
350,201001,702
350,201002,587
350,201003,562
350,201004,464
350,201005,416
350,201006,379
350,201007,462
351,200808,478
351,200809,448
351,200810,435
351,200811,496
351,200812,554
351,200901,612
351,200902,192
351,200903,101
351,200904,78
351,200905,198
351,200906,438
351,200907,510
351,200908,465
351,200909,560
351,200910,473
351,200911,553
351,200912,564
351,201001,623
351,201002,161
351,201003,110
351,201004,92
351,201005,273
351,201006,453
351,201007,499
352,200808,962
352,200809,1095
352,200810,899
352,200811,946
352,200812,900
352,200901,1114
352,200902,1058
352,200903,1150
352,200904,895
352,200905,816
352,200906,935
352,200907,702
352,200908,946
352,200909,847
352,200910,751
352,200911,1034
352,200912,1392
352,201001,1366
352,201002,1280
352,201003,1825
352,201004,1448
352,201005,769
352,201006,502
352,201007,609
353,200808,318
353,200809,280
353,200810,264
353,200811,316
353,200812,299
353,200901,462
353,200902,412
353,200903,288
353,200904,307
353,200905,261
353,200906,218
353,200907,197
353,200908,212
353,200909,232
353,200910,249
353,200911,345
353,200912,410
353,201001,502
353,201002,420
353,201003,351
353,201004,267
353,201005,236
353,201006,199
353,201007,238
354,200808,0
354,200809,1477
354,200810,1480
354,200811,0
354,200812,1738
354,200901,0
354,200902,1866
354,200903,1623
354,200904,1278
354,200905,1342
354,200906,1342
354,200907,1409
354,200908,1367
354,200909,1514
354,200910,2907
354,200911,0
354,200912,1528
354,201001,1865
354,201002,1853
354,201003,1533
354,201004,2728
354,201005,0
354,201006,1358
354,201007,1694
355,200808,1602
355,200809,1738
355,200810,1419
355,200811,1195
355,200812,1395
355,200901,1846
355,200902,2407
355,200903,2192
355,200904,1554
355,200905,967
355,200906,1013
355,200907,1416
355,200908,1206
355,200909,1315
355,200910,1192
355,200911,1216
355,200912,1160
355,201001,1790
355,201002,1400
355,201003,1165
355,201004,1171
355,201005,1029
355,201006,1230
355,201007,1327
356,200808,154
356,200809,177
356,200810,214
356,200811,191
356,200812,227
356,200901,252
356,200902,70
356,200903,66
356,200904,104
356,200905,169
356,200906,166
356,200907,226
356,200908,235
356,200909,208
356,200910,195
356,200911,186
356,200912,124
356,201001,204
356,201002,118
356,201003,76
356,201004,105
356,201005,174
356,201006,160
356,201007,243
357,200808,531
357,200809,592
357,200810,533
357,200811,731
357,200812,665
357,200901,1184
357,200902,812
357,200903,1397
357,200904,559
357,200905,568
357,200906,568
357,200907,491
357,200908,537
357,200909,523
357,200910,647
357,200911,649
357,200912,632
357,201001,856
357,201002,767
357,201003,670
357,201004,699
357,201005,583
357,201006,604
357,201007,548
358,200808,180
358,200809,206
358,200810,171
358,200811,187
358,200812,206
358,200901,226
358,200902,200
358,200903,195
358,200904,180
358,200905,182
358,200906,194
358,200907,178
358,200908,183
358,200909,211
358,200910,200
358,200911,203
358,200912,204
358,201001,221
358,201002,185
358,201003,171
358,201004,162
358,201005,154
358,201006,131
358,201007,154
359,200808,1071
359,200809,1111
359,200810,1028
359,200811,1782
359,200812,3880
359,200901,4601
359,200902,4177
359,200903,3729
359,200904,2744
359,200905,1973
